variety,points,points,points,points,points,points,points,points,price,price,price,price,price,price,price,price
Grolleau,3,87.33333333,4.618802154,82,86,90,90,90,3,39.33333333,25.40341184,10,32,54,54,54
Groppello,2,87,0,87,87,87,87,87,2,23,0,23,23,23,23,23
Gros Manseng,22,88.13636364,1.884661257,86,86.25,88,89.75,92,22,18.04545455,4.845000101,12,15,17,22.25,26
Gros Plant,1,86,,86,86,86,86,86,1,16,,16,16,16,16,16
Gros and Petit Manseng,42,89.64285714,1.960853828,86,88,89.5,92,93,42,20.92857143,5.960818642,11,18,18.5,23.5,39
Grüner Veltliner,1145,90.01572052,2.279759877,83,88,90,92,96,1145,27.78078603,35.22294103,9,16,22,31,1100
Hondarrabi Zuri,17,86.17647059,2.743977362,80,85,86,88,90,17,21.17647059,3.876778529,12,19,20,24,29
Hárslevelü,2,89.5,0.707106781,89,89.25,89.5,89.75,90,2,28,2.828427125,26,27,28,29,30
Incrocio Manzoni,3,88,1,87,87.5,88,88.5,89,3,26.33333333,3.214550254,24,24.5,25,27.5,30
Insolia,26,86.65384615,1.19807538,84,86,86.5,87,89,26,16.88461538,5.006611014,10,12.25,16,20.75,27
Inzolia,27,85.96296296,1.285465539,83,85.5,86,87,88,27,14.92592593,5.07577903,7,12.5,14,16,33
Irsai Oliver,1,87,,87,87,87,87,87,1,13,,13,13,13,13,13
Jacquez,3,85,2.645751311,82,84,86,86.5,87,3,34.33333333,9.814954576,23,31.5,40,40,40
Jacquère,23,87.60869565,1.405803893,85,86.5,88,89,90,23,16.86956522,1.890270491,14,16,16,18,20
Jaen,6,89.83333333,3.188521078,86,87.25,90,92.75,93,6,31,5.585696018,20,32,32,34.25,35
Jampal,1,88,,88,88,88,88,88,1,25,,25,25,25,25,25
Johannisberg Riesling,8,86.25,1.982062418,83,84.75,87,88,88,8,8.875,3.090885218,6,7,7.5,9.75,15
Kadarka,2,88,1.414213562,87,87.5,88,88.5,89,2,24,5.656854249,20,22,24,26,28
Kalecik Karasi,15,89.13333333,1.552264091,86,88.5,90,90,91,15,24.8,9.104159175,15,18,25,27,40
Kangoun,1,87,,87,87,87,87,87,1,14,,14,14,14,14,14
Karalahna,1,87,,87,87,87,87,87,1,15,,15,15,15,15,15
Karasakiz,1,89,,89,89,89,89,89,1,15,,15,15,15,15,15
Kekfrankos,10,87.2,3.047767854,81,87,88,88.75,91,10,29.5,15.82016997,17,19.25,25.5,33,70
Kerner,26,88.84615385,2.03356451,87,87.25,88,89.75,95,26,23.34615385,5.43280633,18,20,22,25,44
Kinali Yapincak,1,84,,84,84,84,84,84,1,15,,15,15,15,15,15
Kisi,6,87.33333333,2.250925735,83,87.25,88,88.75,89,6,20.16666667,3.488074923,15,19,19.5,22.25,25
Kotsifali,1,92,,92,92,92,92,92,1,13,,13,13,13,13,13
Kuntra,1,86,,86,86,86,86,86,1,15,,15,15,15,15,15
Lagrein,78,88.56410256,1.51691539,84,88,89,90,91,78,32.87179487,13.09937936,15,21,30,42.25,70
Lambrusco,42,84.80952381,2.039106634,82,83.25,84,86,90,42,15.66666667,4.257943318,6,13.25,16.5,18.75,24
Lambrusco Grasparossa,16,87.375,1.784189825,84,86,87,89,91,16,18.25,4.057914078,12,16.75,18,19.5,25
Lambrusco Salamino,3,88.66666667,2.309401077,86,88,90,90,90,3,20,5.196152423,14,18.5,23,23,23
Lambrusco di Sorbara,17,89.58823529,2.265469695,85,89,90,91,93,17,20.52941176,5.745842487,14,16,18,25,30
Lemberger,36,87.27777778,1.798588512,82,86,87,88,91,36,21.58333333,9.25318478,7,16,19,25,51
Listán Negro,3,87.66666667,2.886751346,86,86,86,88.5,91,3,28.33333333,14.43375673,20,20,20,32.5,45
Loin de l'Oeil,6,90.83333333,1.602081979,88,90.25,91.5,92,92,6,27.33333333,6.742897498,16,24.75,30,30,35
Loureiro,24,87.25,2.048329118,84,86,87,88.25,92,24,12.875,4.513867521,7,10,12,14.25,25
Loureiro-Arinto,1,86,,86,86,86,86,86,1,10,,10,10,10,10,10
Macabeo,23,85.43478261,2.904950116,81,83.5,85,86.5,93,23,17.7826087,13.01382664,8,10,13,20,53
Macabeo-Chardonnay,4,85,1.632993162,83,84.5,85,85.5,87,4,11.75,2.061552813,9,11.25,12,12.5,14
Macabeo-Moscatel,1,85,,85,85,85,85,85,1,8,,8,8,8,8,8
Madeira Blend,2,89,1.414213562,88,88.5,89,89.5,90,2,45.5,4.949747468,42,43.75,45.5,47.25,49
Madeleine Angevine,2,85.5,0.707106781,85,85.25,85.5,85.75,86,2,17.5,0.707106781,17,17.25,17.5,17.75,18
Magliocco,2,90,0,90,90,90,90,90,2,30,7.071067812,25,27.5,30,32.5,35
Malagousia,12,88.5,2.067057637,85,87,88,89.25,92,12,20.58333333,3.203927514,16,18,20,23,25
Malagouzia,4,88.5,1.732050808,86,88.25,89,89.25,90,4,20,1.632993162,18,19.5,20,20.5,22
Malagouzia-Chardonnay,1,86,,86,86,86,86,86,1,8,,8,8,8,8,8
Malbec,2593,87.97030467,3.106439539,80,86,88,90,97,2593,29.9267258,26.74502433,5,15,22,35,400
Malbec Blend,2,90.5,2.121320344,89,89.75,90.5,91.25,92,2,66.5,40.30508653,38,52.25,66.5,80.75,95
Malbec-Bonarda,5,86.4,3.577708764,82,84,86,90,90,5,17.8,11.43241007,5,8,20,23,33
Malbec-Cabernet,3,91.66666667,2.309401077,89,91,93,93,93,3,113.3333333,61.71169527,45,87.5,130,147.5,165
Malbec-Cabernet Franc,11,88.36363636,2.907670108,84,86.5,87,91,92,11,38,27.3642102,13,20,30,45,100
Malbec-Cabernet Sauvignon,58,88.44827586,3.277635079,80,86,89,91,94,58,41.25862069,39.75740485,10,15,21.5,52.5,169
Malbec-Carménère,1,91,,91,91,91,91,91,1,43,,43,43,43,43,43
Malbec-Merlot,86,88.30232558,2.291004236,83,87,88,90,93,86,19.68604651,7.905711454,9,16,17,21,50
Malbec-Petit Verdot,4,91,0,91,91,91,91,91,4,39.5,10.96965511,30,30,39.5,49,49
Malbec-Syrah,19,85.52631579,1.743827879,82,84.5,85,87,89,19,18.10526316,16.05163452,4,10.5,13,19,78
Malbec-Tannat,16,90.6875,3.135150182,83,91,92,92,93,16,33.9375,18.31017477,15,24,24,50,80
Malbec-Tempranillo,2,86.5,0.707106781,86,86.25,86.5,86.75,87,2,11,4.242640687,8,9.5,11,12.5,14
Malvar,2,84.5,4.949747468,81,82.75,84.5,86.25,88,2,23.5,16.26345597,12,17.75,23.5,29.25,35
Malvasia,41,86.70731707,2.803960613,80,85,87,88,93,41,24.95121951,12.99221155,9,16,20,30,66
Malvasia Bianca,16,88.5625,1.931105038,85,87,89,90,92,16,22.75,5.026595932,15,19.5,24,26.5,30
Malvasia Fina,2,88,1.414213562,87,87.5,88,88.5,89,2,23.5,4.949747468,20,21.75,23.5,25.25,27
Malvasia Istriana,8,86.75,1.752549164,84,86.5,87,87,90,8,20.75,6.158617656,15,16,18.5,24,30
Malvasia Nera,6,87.16666667,1.834847859,84,87,87,88.5,89,6,39.33333333,30.94295827,14,15.25,25.5,67.25,78
Malvasia di Candia,2,87,1.414213562,86,86.5,87,87.5,88,2,22.5,0.707106781,22,22.25,22.5,22.75,23
Malvasia-Viura,3,85,3.605551275,82,83,84,86.5,89,3,17.66666667,11.59022577,10,11,12,21.5,31
Mandilaria,2,88.5,2.121320344,87,87.75,88.5,89.25,90,2,25,0,25,25,25,25,25
Mansois,3,87.33333333,0.577350269,87,87,87,87.5,88,3,17,1.732050808,16,16,16,17.5,19
Mantonico,5,88.4,1.673320053,87,87,88,89,91,5,27.8,3.033150178,24,25,30,30,30
Manzoni,5,86.8,1.303840481,85,86,87,88,88,5,22.6,9.964938535,14,16,17,29,37
Marawi,3,87.66666667,0.577350269,87,87.5,88,88,88,3,35,0,35,35,35,35,35
Maria Gomes,2,88,0,88,88,88,88,88,2,11,0,11,11,11,11,11
Maria Gomes-Bical,1,86,,86,86,86,86,86,1,25,,25,25,25,25,25
Marquette,2,84.5,2.121320344,83,83.75,84.5,85.25,86,2,18,1.414213562,17,17.5,18,18.5,19
Marsanne,65,88.13846154,2.680233916,81,87,88,90,92,65,33.01538462,19.31926848,12,22,27,35,109
Marsanne-Roussanne,22,87.40909091,3.246376602,80,86.25,88,89.75,92,22,30.40909091,13.87584091,11,22.5,28,35,74
Marsanne-Viognier,2,86.5,3.535533906,84,85.25,86.5,87.75,89,2,27.5,10.60660172,20,23.75,27.5,31.25,35
Marselan,4,88.75,1.258305739,87,88.5,89,89.25,90,4,34,22.21110833,12,16.5,34,51.5,56
Marzemino,3,86.33333333,1.527525232,85,85.5,86,87,88,3,52.33333333,67.26316476,13,13.5,14,72,130
Mataro,10,89.5,2.592724864,85,88,90,90.75,94,10,48.1,36.7648685,15,28,30,66.25,135
Maturana,6,86.5,2.258317958,82,87,87,87.75,88,6,57.5,32.67261851,20,41.25,45,78.75,105
Mauzac,7,87.71428571,1.889822365,86,86,87,89.5,90,7,18,3.055050463,15,16,18,18.5,24
Mavrodaphne,5,86.4,1.516575089,85,85,86,88,88,5,16,8,11,11,13,15,30
Mavrokalavryta,1,86,,86,86,86,86,86,1,15,,15,15,15,15,15
Mavrotragano,1,90,,90,90,90,90,90,1,50,,50,50,50,50,50
Mavroudi,1,87,,87,87,87,87,87,1,12,,12,12,12,12,12
Mavrud,7,87.85714286,2.410295378,84,86.5,89,89.5,90,7,14.14285714,2.794552524,9,13,15,16,17
Mazuelo,4,87.75,2.5,85,86.5,87.5,88.75,91,4,78.25,38.56920188,21,74.25,93.5,97.5,105
Melnik,3,88.66666667,0.577350269,88,88.5,89,89,89,3,22.33333333,2.081665999,20,21.5,23,23.5,24
Melon,241,88.55186722,2.418334189,83,87,88,91,93,241,17.17012448,7.481094198,8,13,15,19,80
Mencía,173,88.71098266,2.848448306,80,87,89,91,93,173,28.0982659,19.11886465,8,16,21,32,113
Meritage,259,87.57528958,2.582950849,81,86,88,89,94,259,35.57142857,16.52850821,9,23,34,48,125
Merlot,3062,87.2011757,2.968751321,80,85,87,89,100,3062,29.54343566,33.34088203,4,15,24,35,625
Merlot-Argaman,1,85,,85,85,85,85,85,1,12,,12,12,12,12,12
Merlot-Cabernet,11,88.09090909,2.165850662,86,86.5,88,88.5,92,11,22.54545455,19.13825298,8,10,19,27,75
Merlot-Cabernet Franc,22,88.86363636,1.909760757,86,88,89,90,94,22,38.72727273,10.42972774,22,30,42.5,45,60
Merlot-Cabernet Sauvignon,33,87.3030303,2.297890996,84,86,87,88,94,33,31.57575758,28.11364249,8,12,16,45,96
Merlot-Grenache,1,89,,89,89,89,89,89,1,10,,10,10,10,10,10
Merlot-Malbec,6,87,1.095445115,86,86.25,87,87,89,6,28.66666667,27.79688232,12,16.25,20,20,85
Merlot-Petite Verdot,1,83,,83,83,83,83,83,1,20,,20,20,20,20,20
Merlot-Shiraz,1,86,,86,86,86,86,86,1,18,,18,18,18,18,18
Merlot-Syrah,2,88.5,0.707106781,88,88.25,88.5,88.75,89,2,21,4.242640687,18,19.5,21,22.5,24
Merlot-Tannat,3,89.33333333,3.511884584,86,87.5,89,91,93,3,18.33333333,7.637626158,10,15,20,22.5,25
Merseguera-Sauvignon Blanc,1,85,,85,85,85,85,85,1,9,,9,9,9,9,9
Meseguera,1,91,,91,91,91,91,91,1,35,,35,35,35,35,35
Misket,1,85,,85,85,85,85,85,1,19,,19,19,19,19,19
Mission,7,89.42857143,3.359421719,85,88,89,90,96,7,53.42857143,62.63879826,14,17,18,79,150
Molinara,1,87,,87,87,87,87,87,1,25,,25,25,25,25,25
Monastrell,146,87.23972603,2.747550118,81,85,87,89,97,146,19.95205479,14.27625576,8,11,15,21,88
Monastrell-Petit Verdot,2,88,1.414213562,87,87.5,88,88.5,89,2,19.5,4.949747468,16,17.75,19.5,21.25,23
Monastrell-Syrah,21,86.23809524,2.527939119,82,84,86,88,92,21,18.76190476,10.65319089,9,12,13,24,45
Mondeuse,13,87.30769231,1.436698495,85,86,87,88,90,13,25.84615385,10.35089492,19,19,22,25,48
Monica,4,86.5,1.732050808,85,85,86.5,88,88,4,16,2.828427125,14,14,15,17,20
Montepulciano,201,86.86567164,2.101634048,80,85,87,88,94,201,25.45273632,18.14769972,7,14,19,32,105
Morava,1,87,,87,87,87,87,87,1,26,,26,26,26,26,26
Morillon,7,89.57142857,1.718249386,88,88.5,89,90,93,7,29.71428571,14.78416141,22,23,25,26,63
Morio Muskat,2,87,4.242640687,84,85.5,87,88.5,90,2,17,1.414213562,16,16.5,17,17.5,18
Moscadello,3,89.33333333,4.163331999,86,87,88,91,94,3,40,13.22875656,30,32.5,35,45,55
Moscatel,54,88.31481481,3.113113312,81,86.25,88,90.75,94,54,35.72222222,33.53647221,9,18,20.5,35,137
Moscatel Graúdo,2,87.5,0.707106781,87,87.25,87.5,87.75,88,2,13,0,13,13,13,13,13
Moscatel Roxo,4,89.25,2.753785274,86,87.5,89.5,91.25,92,4,22,3.464101615,19,19,22,25,25
Moscatel de Alejandría,3,85.33333333,2.516611478,83,84,85,86.5,88,3,18.66666667,7.234178138,14,14.5,15,21,27
Moscato,330,86.23333333,2.702601096,80,84,86,88,95,330,16.95151515,11.33534487,5,11,14,19,90
Moscato Giallo,13,87.15384615,2.339734809,85,86,87,88,94,13,22.53846154,8.837565508,15,19,20,25,50
Moscato Rosa,2,90,0,90,90,90,90,90,2,33.5,4.949747468,30,31.75,33.5,35.25,37
Moscato di Noto,1,92,,92,92,92,92,92,1,40,,40,40,40,40,40
Moschofilero,36,88.11111111,2.213952868,85,86,88,89.25,93,36,15.13888889,2.380309437,10,13.75,15,17,20
Moschofilero-Chardonnay,1,85,,85,85,85,85,85,1,13,,13,13,13,13,13
Mourvèdre,226,89.2699115,2.877140091,81,87,90,92,95,226,35.07079646,12.4734148,13,28,34,40,95
Mourvèdre-Syrah,3,91,3.605551275,87,89.5,92,93,94,3,43.66666667,28.9194283,18,28,38,56.5,75
Mtsvane,4,87.75,1.707825128,86,86.75,87.5,88.5,90,4,20.75,8.098353742,13,14.5,20,26.25,30
Muscadel,1,88,,88,88,88,88,88,1,30,,30,30,30,30,30
Muscadelle,10,92.5,3.597838857,89,90,90.5,94,99,10,111.2,122.5622744,16,27.5,47,140,350
Muscadine,2,85.5,0.707106781,85,85.25,85.5,85.75,86,2,22.5,3.535533906,20,21.25,22.5,23.75,25
Muscat,126,88.72222222,3.258561373,82,86.25,88,90,100,126,30.27777778,42.02830263,7,15,19.5,30,350
Muscat Blanc,12,88.41666667,3.058767825,81,87.75,89,90,92,12,21,4.285281363,18,18.75,20,20,30
Muscat Blanc à Petits Grains,2,87,0,87,87,87,87,87,2,16,5.656854249,12,14,16,18,20
Muscat Canelli,36,87.5,2.971291206,83,86,87,88.25,95,36,20.55555556,9.775901696,8,12,18.5,25.75,50
Muscat Hamburg,4,88,1.632993162,86,87.5,88,88.5,90,4,18.75,10.4363148,9,11.25,17,24.5,32
Muscat d'Alexandrie,3,86.33333333,2.081665999,84,85.5,87,87.5,88,3,18.66666667,5.507570547,15,15.5,16,20.5,25
Muscat of Alexandria,3,87,3.605551275,84,85,86,88.5,91,3,19.66666667,5.686240703,15,16.5,18,22,26
Muscatel,3,87.33333333,0.577350269,87,87,87,87.5,88,3,17.66666667,2.309401077,15,17,19,19,19
Muskat,3,89,1.732050808,88,88,88,89.5,91,3,18,8.660254038,13,13,13,20.5,28
Muskat Ottonel,21,86.23809524,2.567192278,80,85,86,89,90,21,14.80952381,4.664965676,7,12,13,20,22
Muskateller,5,86.8,1.483239697,85,86,87,87,89,5,26,4.74341649,22,23,25,26,34
Müller-Thurgau,46,86.95652174,2.511807864,80,86,87,88,93,46,20.23913043,7.686018425,7,15.25,19,21,40
Narince,7,87.14285714,1.67616342,84,87,87,88,89,7,21.28571429,5.407226206,15,18,18,25,30
Nascetta,4,87.75,1.707825128,86,86.75,87.5,88.5,90,4,27,6.377042157,18,25.5,28.5,30,33
Nasco,2,90.5,0.707106781,90,90.25,90.5,90.75,91,2,37.5,24.74873734,20,28.75,37.5,46.25,55
Nebbiolo,2331,90.33118833,2.748415276,80,88,90,92,99,2331,65.60960961,42.91949118,12,43,56,77,595
Negrette,16,87.625,1.927865832,83,86.75,88,88.25,91,16,20.5625,7.491940114,11,17.5,19,21,45
Negroamaro,74,86.7027027,1.685796667,82,86,87,88,91,74,18.90540541,12.4704241,9,13,15,20,100
Nerello Cappuccio,6,89.83333333,1.834847859,88,88.25,89.5,91.5,92,6,36.83333333,11.23239363,25,27.5,35.5,46.5,50
Nerello Mascalese,111,89.73873874,2.765737487,82,88,90,92,97,111,41.14414414,29.8175808,10,23,35,51,225
Nero d'Avola,326,87.50920245,2.114763047,82,86,87,89,94,326,23.33435583,15.47151777,8,14,18,30,90
Nero di Troia,18,87.77777778,1.864704851,85,86,87.5,89,92,18,28.44444444,18.34384725,14,16.25,20,34.5,75
Neuburger,7,90.71428571,1.380131119,89,89.5,91,92,92,7,24.71428571,4.644505202,21,21,21,29.5,30
Nielluciu,3,89,1,88,88.5,89,89.5,90,3,23.33333333,1.154700538,22,23,24,24,24
Norton,16,84,1.460593487,82,83,84,85,86,16,25.3125,9.097389736,12,17.75,25,32,39
Nosiola,8,88.125,2.850438563,85,86,88,89,94,8,30.875,15.23564899,14,17.75,27.5,47.25,48
Nuragus,3,88.33333333,0.577350269,88,88,88,88.5,89,3,16,0,16,16,16,16,16
Ojaleshi,1,88,,88,88,88,88,88,1,18,,18,18,18,18,18
Okuzgozu,8,89.5,1.8516402,87,88,89.5,90.5,92,8,23.875,7.642690252,14,19.25,21.5,30,35
Ondenc,1,90,,90,90,90,90,90,1,15,,15,15,15,15,15
Orange Muscat,20,88.2,3.053901732,82,86.75,87.5,90.5,93,20,20.05,8.846497969,14,16,18,20.25,55
Orangetraube,1,90,,90,90,90,90,90,1,22,,22,22,22,22,22
Other,2,89,0,89,89,89,89,89,2,27,0,27,27,27,27,27
Otskhanuri Sapere,1,90,,90,90,90,90,90,1,30,,30,30,30,30,30
Pallagrello,9,87.77777778,1.715938357,85,87,88,89,90,9,35.77777778,17.85901577,16,19,31,53,58
Pallagrello Bianco,5,87.6,0.547722558,87,87,88,88,88,5,31.6,10.99090533,20,24,30,36,48
Pallagrello Nero,5,87.8,1.483239697,86,87,88,88,90,5,41,15.77973384,24,24,50,50,57
Palomino,18,89.05555556,1.830211245,86,87.25,89.5,90,92,18,37.61111111,39.42101394,13,20,26,30.5,175
Pansa Blanca,14,85.57142857,2.027286391,83,84,85.5,87,89,14,17.78571429,6.773007188,12,14,14.5,21.5,35
Papaskarasi,3,86.66666667,2.309401077,84,86,88,88,88,3,21.33333333,2.309401077,20,20,20,22,24
Paralleda,1,83,,83,83,83,83,83,1,11,,11,11,11,11,11
Parraleta,1,86,,86,86,86,86,86,1,14,,14,14,14,14,14
Passerina,20,85.9,1.483239697,84,85,86,86,91,20,16.75,5.571308077,12,13.75,14,19,35
País,1,83,,83,83,83,83,83,1,18,,18,18,18,18,18
Pecorino,46,87.23913043,1.319676435,85,86,87,88,90,46,19.91304348,7.051638382,11,16,19,21.5,55
Pedro Ximénez,42,89.73809524,3.193434758,83,88,90.5,91,96,42,31.38095238,41.9715074,9,15,23.5,29,258
Perricone,7,88.71428571,1.603567451,87,87.5,88,90,91,7,27.28571429,8.95757195,18,22,27,28.5,45
Petit Courbu,1,88,,88,88,88,88,88,1,19,,19,19,19,19,19
Petit Manseng,50,89.52,3.49483584,83,86.25,90,92,95,50,30.9,17.37961508,11,24,28,32,128
Petit Verdot,265,88.30943396,2.614518334,80,86,88,90,94,265,39.60754717,19.77689815,12,30,35,45,199
Petite Sirah,768,88.19921875,3.127561694,80,86,88,91,95,768,31.46614583,12.95449461,8,24,30,38,115
Petite Verdot,30,88.63333333,2.999808423,83,86.25,89,91,94,30,45,30.05167962,22,30,35,47.5,145
Picapoll,1,82,,82,82,82,82,82,1,21,,21,21,21,21,21
Picolit,22,91.5,2.444624813,88,90,90.5,93,97,22,70.09090909,26.49152441,20,55,66,90,125
Picpoul,17,87.82352941,2.429899538,84,86,88,90,93,17,20.47058824,8.581358044,10,13,20,25,37
Piedirosso,13,86.69230769,2.358835001,81,86,87,88,91,13,21.30769231,10.08616722,12,17,18,20,50
Pigato,2,84,0,84,84,84,84,84,2,23,0,23,23,23,23,23
Pignoletto,3,83.66666667,1.527525232,82,83,84,84.5,85,3,16.33333333,1.527525232,15,15.5,16,17,18
Pignolo,1,92,,92,92,92,92,92,1,70,,70,70,70,70,70
Pinot Auxerrois,12,87.08333333,2.64431924,82,86.5,87,89.25,90,12,25.83333333,11.62937764,11,19.75,21,29.5,45
Pinot Bianco,144,88.47916667,1.866033338,84,87,88,90,95,144,25.42361111,15.52466112,10,18,22,30,165
Pinot Blanc,386,87.89378238,2.418889451,80,86,88,90,93,386,20.86010363,9.287674502,8,15,19,23,90
Pinot Blanc-Chardonnay,4,87.75,1.707825128,86,86.75,87.5,88.5,90,4,23.5,2.516611478,21,22.5,23,24,27
Pinot Blanc-Pinot Noir,1,85,,85,85,85,85,85,1,16,,16,16,16,16,16
Pinot Blanc-Viognier,1,87,,87,87,87,87,87,1,19,,19,19,19,19,19
Pinot Grigio,1002,86.26447106,2.087715645,80,85,86,88,92,1002,16.54191617,7.027187073,4,11.25,15,20,70
Pinot Grigio-Sauvignon Blanc,1,87,,87,87,87,87,87,1,35,,35,35,35,35,35
Pinot Gris,1391,88.52048886,2.635830322,80,87,88,90,96,1391,23.07404745,13.71207977,9,16,19,25,135
Pinot Gris-Gewürztraminer,1,90,,90,90,90,90,90,1,20,,20,20,20,20,20
Pinot Meunier,44,89,2.362497693,82,88,89,91,94,44,46.93181818,27.15964665,17,29.75,39,59,145
Pinot Nero,159,88.74842767,1.938838728,83,88,89,90,94,159,35.20754717,17.68360303,9,22,30,45,150
Pinot Noir,12787,89.40885274,3.131740569,80,87,90,92,99,12787,47.52889654,47.60943421,5,28,42,55,2500
Pinot Noir-Gamay,17,85.82352941,1.740520544,84,85,85,87,90,17,19.11764706,7.614807556,10,14,18,22,35
Pinot Noir-Syrah,3,88,5,83,85.5,88,90.5,93,3,38.66666667,36.2950869,12,18,24,52,80
Pinot-Chardonnay,6,89.5,0.836660027,88,89.25,90,90,90,6,29.16666667,5.671566509,23,28,28,28,40
Pinotage,132,87.24242424,2.26530827,82,86,87,89,93,132,24.40151515,32.6393337,10,12,18,27.25,275
Pinotage-Merlot,1,84,,84,84,84,84,84,1,10,,10,10,10,10,10
Piquepoul Blanc,1,88,,88,88,88,88,88,1,13,,13,13,13,13,13
Plavac Mali,17,87.58823529,2.42535625,82,87,88,89,91,17,34,17.81852968,12,20,27,45,65
Plyto,2,87,0,87,87,87,87,87,2,19.5,0.707106781,19,19.25,19.5,19.75,20
Port,499,90.01002004,3.248400873,83,88,90,92,100,499,64.67935872,102.1442666,12,25,40,70,1000
Portuguese Red,2196,88.86429872,2.997763861,81,87,88,91,100,2196,24.81921676,25.53947527,5,12,17,28,450
Portuguese Rosé,11,84.72727273,2.053821272,81,84,84,86,89,11,17.09090909,11.37061604,7,9,15,18,45
Portuguese Sparkling,50,85.98,1.889714372,83,85,85.5,87,92,50,17.72,8.261145841,7,12,16.5,20,45
Portuguese White,986,86.94827586,2.378491197,80,85,87,88,95,986,15.34482759,9.282632581,5,10,12.5,18,95
Portuguiser,2,86,0,86,86,86,86,86,2,15,0,15,15,15,15,15
Posip,8,87.875,0.991031209,86,87.75,88,88.25,89,8,25.125,2.642374473,20,24,25,27.25,28
Poulsard,3,87.33333333,2.081665999,85,86.5,88,88.5,89,3,26,1.732050808,25,25,25,26.5,28
Premsal,1,83,,83,83,83,83,83,1,15,,15,15,15,15,15
Prieto Picudo,15,86.13333333,2.47463321,83,84.5,86,87,92,15,39.4,19.97426916,15,22,37,52.5,80
Primitivo,203,86.96551724,2.527823997,81,85,87,89,93,203,24.98522167,10.91528034,5,18,24,30,80
Prié Blanc,5,88.2,0.836660027,87,88,88,89,89,5,24.2,3.633180425,20,22,23,28,28
Prosecco,201,86.41293532,1.704004648,82,85,86,87,91,201,19.35820896,6.34358296,10,15,18,21,48
Provence red blend,59,90.11864407,2.633240732,84,88,91,92,95,59,29.93220339,11.23090626,13,23,28,36,66
Provence white blend,34,88,1.576340219,86,87,88,88.75,92,34,23.64705882,8.380649982,14,18.25,23,25.75,45
Prugnolo Gentile,32,88.71875,3.381490175,85,87,88,90,100,32,47.53125,50.64550063,13,19.75,32,53.25,237
Prunelard,1,91,,91,91,91,91,91,1,23,,23,23,23,23,23
Pugnitello,3,87.66666667,1.154700538,87,87,87,88,89,3,49,0,49,49,49,49,49
Rabigato,2,89,0,89,89,89,89,89,2,34,22.627417,18,26,34,42,50
